"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3794.14635140834/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x23f7bfcae8b4ee2e2fc7f88777f489f83f2f7436a47096357551e790dbadb058","50167928","1717251422","2024-06-01 14:17:02","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000842","0.0319467122788582","3812.81","","","0x32675190",""
"0x6931b9525a8e72653e253c476eb82474f6f4d938af75214908c3234741613c3a","50167936","1717251424","2024-06-01 14:17:04","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000495","0.0187810244394713","3812.81","","","0xf44cf899",""
"0x919baffc08f46ac49178860174cc8de6abe6ae3a865bc2c93dcb1e93fa1505e7","50167944","1717251426","2024-06-01 14:17:06","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000324","0.012293034178563","3812.81","","","0xc383e22b",""
"0x423d1c396b12534ad263d547b0db39276fe0c38d43c6e8ee6d806237282d5599","50167952","1717251428","2024-06-01 14:17:08","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000353","0.0133933366204714","3812.81","","","0x1b0e5ac8",""
"0xd9808aab4ebe9779225f88c8b7d9b23c82a1bece7caed3d99db68334156dd690","50167959","1717251430","2024-06-01 14:17:10","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000324","0.012293034178563","3812.81","","","Harvest",""
"0x0833ec5f2f95157e69b76dc3a32dc3cf1573a44101b7d8645460e24d16bb25f2","50167992","1717251439","2024-06-01 14:17:19","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000842","0.0319467122788582","3812.81","","","0x32675190",""
"0x44dd83386c826f44d4743e4f7ffec4c14be7366450259fe5e703fab708c14802","50168001","1717251441","2024-06-01 14:17:21","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000495","0.0187810244394713","3812.81","","","0xf44cf899",""
"0x7ad1497b45844b6ffa6ea59323dd8bdcd6e810ce0c780197b477ca0a0f50ed8b","50168012","1717251444","2024-06-01 14:17:24","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000324","0.012293034178563","3812.81","","","0xc383e22b",""
"0x7b49b250b51b1f6fb69a12acdafbf9feb31d6477da79de6088a0b0a3ada49735","50168020","1717251447","2024-06-01 14:17:27","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000352","0.0133553951569574","3812.81","","","0x1b0e5ac8",""
"0x7a36b7012711f0b773c65f7832133b319a388b6df8b6497700653ed65212d52f","50168028","1717251449","2024-06-01 14:17:29","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000324","0.012293034178563","3812.81","","","Harvest",""
"0x5b406ca83b634e42cdb9965e67bf8c47cf21fc6ceea9f44287481c8ae6576a5e","50168057","1717251457","2024-06-01 14:17:37","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000842","0.0319467122788582","3812.81","","","0x32675190",""
