"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3795.98363179529/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x8327d1e5326f0c2238c94fb0fc34afb0987b318c89722aa6520d246015417e43","50464709","1717329259","2024-06-02 11:54:19","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00006662","0.252888429550202","","","","0x32675190",""
"0x9f38b81196a9627abbcb200672f5101cf8cc6e92978c3398d3cca269551380a1","50464716","1717329261","2024-06-02 11:54:21","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00004011","0.152256903471309","","","","0xf44cf899",""
"0x88929a3e7c19cd108025679abe5bf1bc9125307b39a3f91fc33fc7c3214e2211","50464724","1717329263","2024-06-02 11:54:23","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000384","0.145765771460939","","","","0xc383e22b",""
"0x2af98fe2b50513871dad9004afc78d60c02617709733bcaa5f167f60f5534a9a","50464733","1717329265","2024-06-02 11:54:25","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00006671","0.253230068077064","","","","0x1b0e5ac8",""
"0x62f48b6db7ccdcb4b4fdc26a97ba35d898f7888501df0c162bdc1728d98fffb4","50464740","1717329267","2024-06-02 11:54:27","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003839","0.145727811624621","","","","Harvest",""
"0x626b12f101ef391becdccbc8e2e65dc78a54f0b16e5f041d4c36d7d154abf6d1","50464775","1717329276","2024-06-02 11:54:36","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00006662","0.252888429550202","","","","0x32675190",""
"0xdb457fb3f1484ea2842fd6e848d6166dc12af1139cc61a032ad63e7e3be139e2","50464783","1717329278","2024-06-02 11:54:38","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00004011","0.152256903471309","","","","0xf44cf899",""
"0x209ba2f8bf8fa29444dc9444a7dc8b7fbbe0e7cb4f0f052837f9a7735468bf11","50464790","1717329279","2024-06-02 11:54:39","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000384","0.145765771460939","","","","0xc383e22b",""
"0xc6d9f740185f3e01aa252d09b30965ed5ec7c49d757a5dc7add00e06f77d6bc7","50464798","1717329281","2024-06-02 11:54:41","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00006671","0.253230068077064","","","","0x1b0e5ac8",""
"0xc72cd0dacec5058c06f4c02097b6aa08a975d6cd8c306b5a27f49b9dd35483c4","50464805","1717329283","2024-06-02 11:54:43","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003839","0.145727811624621","","","","Harvest",""
"0x730ef7e4ab2a0a9836cb10c4df2e459b11bbacb5b474f9d033da70b69e508e60","50464834","1717329290","2024-06-02 11:54:50","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00006662","0.252888429550202","","","","0x32675190",""
"0x7973b59d3a20337cb7697648118bbe904fb3744ddd478a06387a57c578c160a6","50464842","1717329292","2024-06-02 11:54:52","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00004011","0.152256903471309","","","","0xf44cf899",""
"0xc5947b6ac0e1066d0db32f328419ff77fd57e047f2f11d3daa09a101e63cb4ce","50464850","1717329294","2024-06-02 11:54:54","0x63c4d0cec41a02b1dde1444068b8be315b1bd13c","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000384","0.145765771460939","","","","0xc383e22b",""
