"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3795.3220297876/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x9325d987ec6211ad761b07fb7072f82416596afde7686acdebdd5eaa96ed535a","50167984","1717251437","2024-06-01 14:17:17","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000321","0.0121829837156182","3812.81","","","0x1214c5e5",""
"0x77e9c6a208fe8a1d361d76e7e1a9a0c255a8d41120f9bb674cf3ad58bdf0ad64","50168050","1717251455","2024-06-01 14:17:35","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000321","0.0121829837156182","3812.81","","","0x1214c5e5",""
"0x6bacd4ff85bfd4cae2f5808d6a3f31626b66c72c8178a5d82995794465cbbc42","50168112","1717251470","2024-06-01 14:17:50","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00000321","0.0121829837156182","3812.81","","","0x1214c5e5",""
"0x64adc18e3ba3e51713ca0de58e955e7f7a0bdf54d3700f7c36fba2ded100a8d8","50168183","1717251486","2024-06-01 14:18:06","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
"0x938061e83b3c026c6f1db2036e6d720e3f77d1da99750efa2507880750768ea3","50168241","1717251501","2024-06-01 14:18:21","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
"0x1c806c3245ae431bff06ffd01e6700f0d7eaadbfdc30c4f6ecd674fd225cf1c0","50168300","1717251516","2024-06-01 14:18:36","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
"0x787ae7c53130bc49213621a75282451e6fcc19ba457230c6b9561aa7f29cfd27","50168358","1717251531","2024-06-01 14:18:51","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
"0xf350b4ec5d2832a52595b13ee45fda2e9490a10754119a940d963c88545e9832","50168413","1717251546","2024-06-01 14:19:06","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
"0x6b6f9885385d8708c753f7a6cacd1fab0b58cf5834dd120104c218488c800ae2","50168472","1717251562","2024-06-01 14:19:22","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
"0x4332d786fe897c9969debd3e853077d620ac6180d9363520831a4f874439c209","50168532","1717251578","2024-06-01 14:19:38","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.0000031","0.0117654982923416","3812.81","","","0x1214c5e5",""
