"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3795.00194029914/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x329c6ec0291eccd9ce44b3275de1c4e539d5db677dc22b94f8f4a94252b02f24","50464766","1717329273","2024-06-02 11:54:33","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x1b49e3143c26bd5d010c120bc2debfad3ea9ebd2a85dd9bd9c320fc2f4df258d","50464826","1717329288","2024-06-02 11:54:48","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x76b0e8adb47c8c33c33775144decd6d7fe8e86a9a59aa364f423f071181f6e7b","50464886","1717329304","2024-06-02 11:55:04","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x07d957082033aeaf05720a04cf6bcf5c6963caa9fd87f5a5f25d13a4a76b23c0","50464950","1717329320","2024-06-02 11:55:20","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0xe84df928d4ad7fed78ad5c85b22ebc350010d01da4c8bf9acf413d7d1817a853","50465010","1717329336","2024-06-02 11:55:36","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0xe2604c10917b7d895cc7ebdf2de773c37849966296ad73ae4d20bbc17132a8c4","50465073","1717329352","2024-06-02 11:55:52","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0xe27a67ec7ec5cf48fb9b6dd705ac3e5f2e1097a724287232f598dbf6604e264d","50465133","1717329367","2024-06-02 11:56:07","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x52ff9007d8a9c6cdcc18503dca4e808727b698a2947319c920c03e83df08ef87","50465196","1717329383","2024-06-02 11:56:23","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x5df81ab4c08c6c7b1d79d2ce2031e86a8ee6e855d13c2cfbe41f6e1539a7bc40","50465259","1717329399","2024-06-02 11:56:39","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x51381def46e9a5173d0d02a8fb094230dfb7498b5a73a6711ddc57fc2a389e91","50465316","1717329415","2024-06-02 11:56:55","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003789","0.143792623517934","","","","0x1214c5e5",""
"0x936f0c90023e915d51ed5ad784581f7eba7ee9e24604db582617e80593873e8a","50465376","1717329430","2024-06-02 11:57:10","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00003765","0.142881823052263","","","","0x1214c5e5",""
"0x09a9c2a47b9b56987c05e08328c84246211572dc2ec604329498eb59d2dc8077","50465452","1717329447","2024-06-02 11:57:27","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0xe0d4581e9ee660cc02aa01cfc3c410fa31bc7b4ff3baa5903a3aad73734b8016","50465507","1717329461","2024-06-02 11:57:41","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0x56028fdb6733534e92b771adba08429aebf63d483d849d44891be28f8128466b","50465563","1717329476","2024-06-02 11:57:56","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0x166fc189684812bd3b2ce536ff0b34c62ba214485575aeb0009bd7a965083998","50465624","1717329491","2024-06-02 11:58:11","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0x960f313a574963dc05ad1dcd75f79020f54121fc615ac7eff6c36c9af2957ca8","50465688","1717329508","2024-06-02 11:58:28","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0xc9dc542f07e3933c68792a4e43e483a430bc6968a5860bdf28808d6dc2adf9a0","50465742","1717329522","2024-06-02 11:58:42","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0x299044bbc38c7bc77affa6bed62766bd501e333c018f734a01cd87aecd883230","50465800","1717329537","2024-06-02 11:58:57","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001087","0.0412516710910516","","","","0x1214c5e5",""
"0xb5da90494d37ec07d034d1aa48ee576c55a51b7244073efb47086810e82cc21c","50465862","1717329553","2024-06-02 11:59:13","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
"0x632995acbfe0573a220fb6628b7048fb7875b2cd16e92957c9427e8c3f26687a","50465926","1717329569","2024-06-02 11:59:29","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
"0x51e2449e63db7bc2f9313b3cf67f6a94c8d5845f146651f8131363e9e4fc738b","50465984","1717329585","2024-06-02 11:59:45","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
"0xab543acf586d6ba40ee5c30a6eda1f27a3ff021fcc81f4baf1b05eba6778994f","50466042","1717329600","2024-06-02 12:00:00","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
"0x751aa6123bc2fd85d9aa9f26dc2007b6386c0dd0a037ed1d444737567d2dd3b0","50466112","1717329618","2024-06-02 12:00:18","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
"0xc98a360f9593dd63d6eddca4f28e49c4673753577089adfc1eb0d2df9054ce0e","50466173","1717329633","2024-06-02 12:00:33","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
"0xc22624b243bf6980e23bb15eea7870355397a3d1bb39bb789ba234c42ad82229","50466232","1717329649","2024-06-02 12:00:49","0x4ca377a1b7f16e102c1aa2a878e7d9e3281615d6","0x33a539e2469c8d3421b3ff29cc7b7de1e695ebfe","","0","0","0","0.00001092","0.0414414211880666","","","","0x1214c5e5",""
