Chain;Transaction;Metric;Average
Arbitrum;buy_seeds;l1_blob_base_fee_scalar;-1.0
Optimism;buy_seeds;l1_blob_base_fee_scalar;862000.0
Arbitrum;germinate_seeds;l1_blob_base_fee_scalar;-1.0
Optimism;germinate_seeds;l1_blob_base_fee_scalar;862000.0
Arbitrum;plant_seeds;l1_blob_base_fee_scalar;-1.0
Optimism;plant_seeds;l1_blob_base_fee_scalar;862000.0
Arbitrum;stimulate;l1_blob_base_fee_scalar;-1.0
Optimism;stimulate;l1_blob_base_fee_scalar;862000.0
Arbitrum;harvest;l1_blob_base_fee_scalar;-1.0
Optimism;harvest;l1_blob_base_fee_scalar;862000.0
Arbitrum;transport;l1_blob_base_fee_scalar;-1.0
Optimism;transport;l1_blob_base_fee_scalar;862000.0
Arbitrum;store;l1_blob_base_fee_scalar;-1.0
Optimism;store;l1_blob_base_fee_scalar;862000.0
Arbitrum;display_vegetables;l1_blob_base_fee_scalar;-1.0
Optimism;display_vegetables;l1_blob_base_fee_scalar;862000.0
Arbitrum;add_actor;l1_blob_base_fee_scalar;-1.0
Optimism;add_actor;l1_blob_base_fee_scalar;862000.0
Arbitrum;register_actor;l1_blob_base_fee_scalar;-1.0
Optimism;register_actor;l1_blob_base_fee_scalar;862000.0
Arbitrum;buy_seeds;cumulative_gas_used;252001.24
Optimism;buy_seeds;cumulative_gas_used;899266.45
Arbitrum;germinate_seeds;cumulative_gas_used;149151.12
Optimism;germinate_seeds;cumulative_gas_used;859329.28
Arbitrum;plant_seeds;cumulative_gas_used;132058.97
Optimism;plant_seeds;cumulative_gas_used;866999.81
Arbitrum;stimulate;cumulative_gas_used;214569.81
Optimism;stimulate;cumulative_gas_used;925923.72
Arbitrum;harvest;cumulative_gas_used;131757.98
Optimism;harvest;cumulative_gas_used;988960.14
Arbitrum;transport;cumulative_gas_used;183780.02
Optimism;transport;cumulative_gas_used;884283.02
Arbitrum;store;cumulative_gas_used;153062.24
Optimism;store;cumulative_gas_used;889754.83
Arbitrum;display_vegetables;cumulative_gas_used;129841.03
Optimism;display_vegetables;cumulative_gas_used;858501.47
Arbitrum;add_actor;cumulative_gas_used;286664.64
Optimism;add_actor;cumulative_gas_used;956651.15
Arbitrum;register_actor;cumulative_gas_used;109307.19
Optimism;register_actor;cumulative_gas_used;860999.05
Arbitrum;buy_seeds;effective_gas_price;100000000.0
Optimism;buy_seeds;effective_gas_price;1200311.61
Arbitrum;germinate_seeds;effective_gas_price;100000000.0
Optimism;germinate_seeds;effective_gas_price;1200311.61
Arbitrum;plant_seeds;effective_gas_price;100000000.0
Optimism;plant_seeds;effective_gas_price;1200311.6
Arbitrum;stimulate;effective_gas_price;100000000.0
Optimism;stimulate;effective_gas_price;1200311.58
Arbitrum;harvest;effective_gas_price;100000000.0
Optimism;harvest;effective_gas_price;1200311.57
Arbitrum;transport;effective_gas_price;100000000.0
Optimism;transport;effective_gas_price;1200311.58
Arbitrum;store;effective_gas_price;100000000.0
Optimism;store;effective_gas_price;1200311.57
Arbitrum;display_vegetables;effective_gas_price;100000000.0
Optimism;display_vegetables;effective_gas_price;1200311.57
Arbitrum;add_actor;effective_gas_price;100000000.0
Optimism;add_actor;effective_gas_price;1200313.68
Arbitrum;register_actor;effective_gas_price;100000000.0
Optimism;register_actor;effective_gas_price;1200313.67
Arbitrum;buy_seeds;l1_base_fee_scalar;-1.0
Optimism;buy_seeds;l1_base_fee_scalar;7600.0
Arbitrum;germinate_seeds;l1_base_fee_scalar;-1.0
Optimism;germinate_seeds;l1_base_fee_scalar;7600.0
Arbitrum;plant_seeds;l1_base_fee_scalar;-1.0
Optimism;plant_seeds;l1_base_fee_scalar;7600.0
Arbitrum;stimulate;l1_base_fee_scalar;-1.0
Optimism;stimulate;l1_base_fee_scalar;7600.0
Arbitrum;harvest;l1_base_fee_scalar;-1.0
Optimism;harvest;l1_base_fee_scalar;7600.0
Arbitrum;transport;l1_base_fee_scalar;-1.0
Optimism;transport;l1_base_fee_scalar;7600.0
Arbitrum;store;l1_base_fee_scalar;-1.0
Optimism;store;l1_base_fee_scalar;7600.0
Arbitrum;display_vegetables;l1_base_fee_scalar;-1.0
Optimism;display_vegetables;l1_base_fee_scalar;7600.0
Arbitrum;add_actor;l1_base_fee_scalar;-1.0
Optimism;add_actor;l1_base_fee_scalar;7600.0
Arbitrum;register_actor;l1_base_fee_scalar;-1.0
Optimism;register_actor;l1_base_fee_scalar;7600.0
Arbitrum;buy_seeds;initial_gas_price;100000000.0
Optimism;buy_seeds;initial_gas_price;1000260.06
Arbitrum;germinate_seeds;initial_gas_price;100000000.0
Optimism;germinate_seeds;initial_gas_price;1000260.06
Arbitrum;plant_seeds;initial_gas_price;100000000.0
Optimism;plant_seeds;initial_gas_price;1000260.05
Arbitrum;stimulate;initial_gas_price;100000000.0
Optimism;stimulate;initial_gas_price;1000260.03
Arbitrum;harvest;initial_gas_price;100000000.0
Optimism;harvest;initial_gas_price;1000260.02
Arbitrum;transport;initial_gas_price;100000000.0
Optimism;transport;initial_gas_price;1000260.02
Arbitrum;store;initial_gas_price;100000000.0
Optimism;store;initial_gas_price;1000260.03
Arbitrum;display_vegetables;initial_gas_price;100000000.0
Optimism;display_vegetables;initial_gas_price;1000260.03
Arbitrum;add_actor;initial_gas_price;100000000.0
Optimism;add_actor;initial_gas_price;1000261.68
Arbitrum;register_actor;initial_gas_price;100000000.0
Optimism;register_actor;initial_gas_price;1000261.67
Arbitrum;buy_seeds;l1_blob_base_fee;-1.0
Optimism;buy_seeds;l1_blob_base_fee;5313408212024.49
Arbitrum;germinate_seeds;l1_blob_base_fee;-1.0
Optimism;germinate_seeds;l1_blob_base_fee;5370764039798.19
Arbitrum;plant_seeds;l1_blob_base_fee;-1.0
Optimism;plant_seeds;l1_blob_base_fee;5376668891523.71
Arbitrum;stimulate;l1_blob_base_fee;-1.0
Optimism;stimulate;l1_blob_base_fee;5358697004913.54
Arbitrum;harvest;l1_blob_base_fee;-1.0
Optimism;harvest;l1_blob_base_fee;5343274746959.13
Arbitrum;transport;l1_blob_base_fee;-1.0
Optimism;transport;l1_blob_base_fee;5343826748007.08
Arbitrum;store;l1_blob_base_fee;-1.0
Optimism;store;l1_blob_base_fee;5311015621690.24
Arbitrum;display_vegetables;l1_blob_base_fee;-1.0
Optimism;display_vegetables;l1_blob_base_fee;5304523196324.97
Arbitrum;add_actor;l1_blob_base_fee;-1.0
Optimism;add_actor;l1_blob_base_fee;5201863041040.44
Arbitrum;register_actor;l1_blob_base_fee;-1.0
Optimism;register_actor;l1_blob_base_fee;5182230127213.39
Arbitrum;buy_seeds;gas_used_for_l1;169467.24
Optimism;buy_seeds;gas_used_for_l1;1600.0
Arbitrum;germinate_seeds;gas_used_for_l1;100663.12
Optimism;germinate_seeds;gas_used_for_l1;1600.0
Arbitrum;plant_seeds;gas_used_for_l1;100669.97
Optimism;plant_seeds;gas_used_for_l1;1600.0
Arbitrum;stimulate;gas_used_for_l1;181193.81
Optimism;stimulate;gas_used_for_l1;1744.14
Arbitrum;harvest;gas_used_for_l1;100413.98
Optimism;harvest;gas_used_for_l1;1600.0
Arbitrum;transport;gas_used_for_l1;143504.02
Optimism;transport;gas_used_for_l1;1600.0
Arbitrum;store;gas_used_for_l1;121987.24
Optimism;store;gas_used_for_l1;1600.0
Arbitrum;display_vegetables;gas_used_for_l1;98773.03
Optimism;display_vegetables;gas_used_for_l1;1600.0
Arbitrum;add_actor;gas_used_for_l1;226034.52
Optimism;add_actor;gas_used_for_l1;2754.92
Arbitrum;register_actor;gas_used_for_l1;83310.19
Optimism;register_actor;gas_used_for_l1;1600.0
Arbitrum;buy_seeds;l1_gas_price;8327443990.3
Optimism;buy_seeds;l1_gas_price;4722229452.99
Arbitrum;germinate_seeds;l1_gas_price;8331435129.91
Optimism;germinate_seeds;l1_gas_price;4700092755.93
Arbitrum;plant_seeds;l1_gas_price;8319360426.06
Optimism;plant_seeds;l1_gas_price;4683531539.63
Arbitrum;stimulate;l1_gas_price;8300605388.35
Optimism;stimulate;l1_gas_price;4700575907.21
Arbitrum;harvest;l1_gas_price;8309213442.25
Optimism;harvest;l1_gas_price;4694773840.43
Arbitrum;transport;l1_gas_price;8310580679.86
Optimism;transport;l1_gas_price;4675846793.41
Arbitrum;store;l1_gas_price;8326380795.27
Optimism;store;l1_gas_price;4675377327.23
Arbitrum;display_vegetables;l1_gas_price;8299250957.96
Optimism;display_vegetables;l1_gas_price;4689584669.06
Arbitrum;add_actor;l1_gas_price;7145698903.82
Optimism;add_actor;l1_gas_price;1851162900.42
